rank,relevance_score,skim_tier,cluster,title,year,authors,venue,type,doi,openalex_id,cited_by_count,query_sources,concepts,keywords,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,extraction_confidence,abstract
893,60.466,landscape_sweep,mobile manipulation and base placement,Service robotics: do you know your new companion? Framing an interdisciplinary technology assessment,2011,Michael Decker; Rüdiger Dillmann; Thomas Dreier; Martin Fischer; Mathias Gutmann; Ingrid Ott; Indra Spiecker genannt Döhmann,Poiesis & Praxis,article,https://doi.org/10.1007/s10202-011-0098-6,https://openalex.org/W2019509533,31,action precondition learning robot manipulation,Framing (construction); Robotics; Artificial intelligence; Engineering ethics; Sociology; Computer science; Psychology; Epistemology; Robot; Engineering; Philosophy; Structural engineering,Framing (construction); Robotics; Artificial intelligence; Engineering ethics; Sociology; Computer science; Psychology; Epistemology; Robot; Engineering,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"Service-Robotic-mainly defined as ""non-industrial robotics""-is identified as the next economical success story to be expected after robots have been ubiquitously implemented into industrial production lines. Under the heading of service-robotic, we found a widespread area of applications reaching from robotics in agriculture and in the public transportation system to service robots applied in private homes. We propose for our interdisciplinary perspective of technology assessment to take the human user/worker as common focus. In some cases, the user/worker is the effective subject acting by means of and in cooperation with a service robot; in other cases, the user/worker might become a pure object of the respective robotic system, for example, as a patient in a hospital. In this paper, we present a comprehensive interdisciplinary framework, which allows us to scrutinize some of the most relevant applications of service robotics; we propose to combine technical, economical, legal, philosophical/ethical, and psychological perspectives in order to design a thorough and comprehensive expert-based technology assessment. This allows us to understand the potentials as well as the limits and even the threats connected with the ongoing and the planned implementation of service robots into human lifeworld-particularly of those technical systems displaying increasing grades of autonomy."
894,60.454,landscape_sweep,robot foundation/vision-language manipulation,A review on humanoid robotics in healthcare,2018,Azeta Joseph; Christian A. Bolu; Abioye A. Abiodun; F. A. Oyawale,MATEC Web of Conferences,review,https://doi.org/10.1051/matecconf/201815302004,https://openalex.org/W2787956211,85,robot affordance mobile manipulation|robot contact affordance manipulation|visual affordance learning robotics manipulation,Humanoid robot; Robotics; Health care; Artificial intelligence; Contextualization; Robot; Computer science; Human–computer interaction; Political science; Programming language; Interpretation (philosophy); Law,Humanoid robot; Robotics; Health care; Artificial intelligence; Contextualization; Robot; Computer science; Human–computer interaction; Political science,Use broad multimodal representations to condition robot manipulation behavior.,"A domain-specific model, planner, or learned predictor described by the paper.",task labels remain meaningful across the deployment contexts considered,dataset distribution; robot embodiment; task definition,"distribution shift, unmodeled geometry, and embodiment mismatch",using broad pretrained representations for robot actions,a mechanism-level account of conserved affordance under mobile manipulation context shift,abstract-level,"Humanoid robots have evolved over the years and today it is in many different areas of applications, from homecare to social care and healthcare robotics. This paper deals with a brief overview of the current and potential applications of humanoid robotics in healthcare settings. We present a comprehensive contextualization of humanoid robots in healthcare by identifying and characterizing active research activities on humanoid robot that can work interactively and effectively with humans so as to fill some identified gaps in current healthcare deficiency."
895,60.444,landscape_sweep,mobile manipulation and base placement,On Cognitive Assistant Robots for Reducing Variability in Industrial Human-Robot Activities,2020,Alejandro Chacón; Pere Ponsa; Cecilio Ángulo,Applied Sciences,article,https://doi.org/10.3390/app10155137,https://openalex.org/W3045757151,18,action precondition learning robot manipulation|cognitive robotics affordance manipulation,Task (project management); Robot; Supervisor; Robotics; Cognition; Computer science; Artificial intelligence; Human–computer interaction; Autonomy; Human–robot interaction; Domain (mathematical analysis); Cognitive robotics,Task (project management); Robot; Supervisor; Robotics; Cognition; Computer science; Artificial intelligence; Human–computer interaction; Autonomy; Human–robot interaction,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"In the industrial domain, one important research activity for cognitive robotics is the development of assistant robots. In this work, we show how the use of a cognitive assistant robot can contribute to (i) improving task effectiveness and productivity, (ii) providing autonomy for the human supervisor to make decisions, providing or improving human operators’ skills, and (iii) giving feedback to the human operator in the loop. Our approach is evaluated on variability reduction in a manual assembly system. The overall study and analysis are performed on a model of the assembly system obtained using the Functional Resonance Analysis Method (FRAM) and tested in a robotic simulated scenario. Results show that a cognitive assistant robot is a useful partner in the role of improving the task effectiveness of human operators and supervisors."
896,60.412,landscape_sweep,mobile manipulation and base placement,Soft-robotic ciliated epidermis for reconfigurable coordinated fluid manipulation,2022,Ziyu Ren; Mingchao Zhang; Shanyuan Song; Zemin Liu; Chong Hong; Tianlu Wang; Xiaoguang Dong; Wenqi Hu; Metin Sitti,Science Advances,article,https://doi.org/10.1126/sciadv.abq2345,https://openalex.org/W4293155704,49,robot reachability map mobile manipulation,Actuator; Bending; Computer science; Perpendicular; Fluid dynamics; Kinematics; Soft robotics; Substrate (aquarium); Biomimetics; Materials science; Fluid–structure interaction; Mechanical engineering,Actuator; Bending; Computer science; Perpendicular; Fluid dynamics; Kinematics; Soft robotics; Substrate (aquarium); Biomimetics; Materials science,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"The fluid manipulation capabilities of current artificial cilia are severely handicapped by the inability to reconfigure near-surface flow on various static or dynamically deforming three-dimensional (3D) substrates. To overcome this challenge, we propose an electrically driven soft-robotic ciliated epidermis with multiple independently controlled polypyrrole bending actuators. The beating kinematics and the coordination of multiple actuators can be dynamically reconfigured to control the strength and direction of fluid transportation. We achieve fluid transportation along and perpendicular to the beating directions of the actuator arrays, and toward or away from the substrate. The ciliated epidermises are bendable and stretchable and can be deployed on various static or dynamically deforming 3D surfaces. They enable previously difficult to obtain fluid manipulation functionalities, such as transporting fluid in tubular structures or enhancing fluid transportation near dynamically bending and expanding surfaces."
897,60.401,landscape_sweep,mobile manipulation and base placement,Underwater legged robotics: review and perspectives,2023,Giacomo Picardi; Anna Astolfi; Damianos Chatzievangelou; Jacopo Aguzzi; Marcello Calisti,Bioinspiration & Biomimetics,review,https://doi.org/10.1088/1748-3190/acc0bb,https://openalex.org/W4322762907,29,affordance map robot navigation manipulation|articulated object affordance robot manipulation|robot manipulation clutter affordance|robot manipulation reachable workspace clutter|scene graph affordance robot manipulation|transportable affordance robotic manipulation,Robotics; Underwater; Robot; Artificial intelligence; Context (archaeology); Field (mathematics); Computer science; Human–computer interaction; Engineering; Systems engineering; Geography; Pure mathematics,Robotics; Underwater; Robot; Artificial intelligence; Context (archaeology); Field (mathematics); Computer science; Human–computer interaction; Engineering; Systems engineering,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"Nowadays, there is a growing awareness on the social and economic importance of the ocean. In this context, being able to carry out a diverse range of operations underwater is of paramount importance for many industrial sectors as well as for marine science and to enforce restoration and mitigation actions. Underwater robots allowed us to venture deeper and for longer time into the remote and hostile marine environment. However, traditional design concepts such as propeller driven remotely operated vehicles, autonomous underwater vehicles, or tracked benthic crawlers, present intrinsic limitations, especially when a close interaction with the environment is required. An increasing number of researchers are proposing legged robots as a bioinspired alternative to traditional designs, capable of yielding versatile multi-terrain locomotion, high stability, and low environmental disturbance. In this work, we aim at presenting the new field of underwater legged robotics in an organic way, discussing the prototypes in the state-of-the-art and highlighting technological and scientific challenges for the future. First, we will briefly recap the latest developments in traditional underwater robotics from which several technological solutions can be adapted, and on which the benchmarking of this new field should be set. Second, we will the retrace the evolution of terrestrial legged robotics, pinpointing the main achievements of the field. Third, we will report a complete state of the art on underwater legged robots focusing on the innovations with respect to the interaction with the..."
898,60.303,landscape_sweep,robot affordance learning,Knowledge Representation and Inference for Grasp Affordances,2011,Karthik Mahesh Varadarajan; Markus Vincze,Lecture notes in computer science,book-chapter,https://doi.org/10.1007/978-3-642-23968-7_18,https://openalex.org/W1558198757,9,3D affordance perception robotic manipulation,Computer science; Affordance; Human–computer interaction; GRASP; Inference; Task (project management); Knowledge representation and reasoning; Scalability; Representation (politics); Usability; Artificial intelligence; Perception,Computer science; Affordance; Human–computer interaction; GRASP; Inference; Task (project management); Knowledge representation and reasoning; Scalability; Representation (politics); Usability,Predict or learn where and how a robot can act on objects or parts from perception.,"A perception-to-affordance predictor trained from demonstrations, labels, or interaction.",affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,metadata-level,
899,60.292,landscape_sweep,robot foundation/vision-language manipulation,Embodied AI with Foundation Models for Mobile Service Robots: A Systematic Review,2026,Matthew Lisondra; B. Benhabib; Goldie Nejat,Robotics,article,https://doi.org/10.3390/robotics15030055,https://openalex.org/W4415035887,5,embodied AI manipulation affordance,Computer science; Service (business); Executable; Human–computer interaction; Embodied cognition; Foundation (evidence); Robot; Artificial intelligence; Mobile robot; Service provider; Mobile service; Knowledge management,Service (business); Executable; Embodied cognition; Foundation (evidence); Robot; Mobile robot,Use broad multimodal representations to condition robot manipulation behavior.,A large learned representation or transformer-conditioned manipulation module.,task labels remain meaningful across the deployment contexts considered,dataset distribution; robot embodiment; task definition,"distribution shift, unmodeled geometry, and embodiment mismatch",using broad pretrained representations for robot actions,a mechanism-level account of conserved affordance under mobile manipulation context shift,abstract-level,"Rapid advancements in foundation models, including Large Language Models, Vision-Language Models, Multimodal Large Language Models, and Vision-Language-Action models, have opened new avenues for embodied AI in mobile service robotics. By combining foundation models with the principles of embodied AI, where intelligent systems perceive, reason, and act through physical interaction, mobile service robots can achieve more flexible understanding, adaptive behavior, and robust task execution in dynamic real-world environments. Despite this progress, embodied AI for mobile service robots continues to face fundamental challenges related to the translation of natural language instructions into executable robot actions, multimodal perception in human-centered environments, uncertainty estimation for safe decision-making, and computational constraints for real-time onboard deployment. In this paper, we present the first systematic review of foundation models in mobile service robotics, following the preferred reporting items for systematic reviews and meta-analysis (PRISMA) guidelines. Using an OpenAlex literature search, we considered 7506 papers for the years spanning 1968–2025. Our detailed analysis identified four main challenges and how recent advances in foundation models, related to the translation of natural language instructions into executable robot actions, multimodal perception in human-centered environments, uncertainty estimation for safe decision-making, and computational constraints for real-time onboard deployment, have addressed these challenges. We further examine..."
900,60.273,landscape_sweep,mobile manipulation and base placement,A method for autonomous robotic manipulation through exploratory interactions with uncertain environments,2020,Pietro Balatti; Dimitrios Kanoulas; Nikos G. Tsagarakis; Arash Ajoudani,Autonomous Robots,article,https://doi.org/10.1007/s10514-020-09933-w,https://openalex.org/W3047066615,15,articulated object affordance robot manipulation|transportable affordance robotic manipulation,Computer science; Robot; Flexibility (engineering); Human–computer interaction; Context (archaeology); Software deployment; Perception; Controller (irrigation); Artificial intelligence; Teleoperation; Software engineering; Statistics,Computer science; Robot; Flexibility (engineering); Human–computer interaction; Context (archaeology); Software deployment; Perception; Controller (irrigation); Artificial intelligence; Teleoperation,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"Abstract Expanding robot autonomy can deliver functional flexibility and enable fast deployment of robots in challenging and unstructured environments. In this direction, significant advances have been recently made in visual-perception driven autonomy, which is mainly due to the availability of rich sensory data-sets. However, current robots’ physical interaction autonomy levels still remain at a basic level. Towards providing a systematic approach to this problem, this paper presents a new context-aware and adaptive method that allows a robotic platform to interact with unknown environments. In particular, a multi-axes self-tuning impedance controller is introduced to regulate quasi-static parameters of the robot based on previous experience in interacting with similar environments and the real-time sensory data. The proposed method is also capable of differentiating internal and external disruptions, and responding to them accordingly and appropriately. An agricultural experiment with different deformable material is presented to validate robot interaction autonomy improvements, and the capability of the proposed methodology in detecting and responding to unexpected events (e.g., faults)."
901,60.273,landscape_sweep,robot affordance learning,Melting the Psychological Boundary: How Interactive and Sensory Affordance Influence Users’ Adoption of Digital Heritage Service,2023,Weiwei Jia; Han Li; Meimei Jiang; Liang Wu,Sustainability,article,https://doi.org/10.3390/su15054117,https://openalex.org/W4321789853,15,embodied AI manipulation affordance,Affordance; Context (archaeology); Service (business); Interactivity; Tourism; Conceptual framework; Computer science; Digital media; Knowledge management; Multimedia; World Wide Web; Human–computer interaction,Affordance; Context (archaeology); Service (business); Interactivity; Tourism; Conceptual framework; Computer science; Digital media; Knowledge management; Multimedia,Predict or learn where and how a robot can act on objects or parts from perception.,"A perception-to-affordance predictor trained from demonstrations, labels, or interaction.",affordance labels are object/part properties rather than censored access observations; base pose and clutter variation are covered by training data or can be ignored,robot morphology; base pose distribution; clutter process; action primitive frame,confusing inaccessible views with non-affordant parts; spurious base/clutter correlations,generic affordance prediction from perception,whether a failed affordance observation is intrinsic or only base/clutter-censored,abstract-level,"As a result of the post-pandemic situation, enhancing digital heritage services has become one of the key issues for the recovery of tourism. Disruptive innovation in human–computer interaction technology has brought new opportunities for digitalization and intelligent transformation in the contemporary cultural tourism industry. Existing research on the adoption behavior of digital heritage services primarily focuses on users’ assessments of behavior results. There is a considerable gap in research about the interaction and value co-creation between users and digital intelligence services and users’ cognitive construction logic of digital heritage services. Following reciprocal determinism, we propose a conceptual model to deconstruct the detailed transmission path of interactive affordance and sensory affordance to digital heritage adoption. In Study 1, a lab experiment in an AI-assisted smart screen digital heritage service context revealed that interactive affordance and user adoption of digital heritage services were partially mediated by psychological distance. Findings from a between-subject online experiment in Study 2 confirmed that embodied cognition and psychological distance play a parallel intermediary role in the impact of sensory affordance on adoption. In Study 3, a lab experiment in a VR-based digital museum context further verified that information overload moderates the influence of embodied cognition on psychological distance. This research reveals the deep-bounded, rational decision-making logic of digital heritage service adoption and provides signifi..."
902,60.249,landscape_sweep,task and motion planning,A Comprehensive Review of Coverage Path Planning in Robotics Using Classical and Heuristic Algorithms,2021,Chee Sheng Tan; Rosmiwati Mohd‐Mokhtar; Mohd Rizal Arshad,IEEE Access,review,https://doi.org/10.1109/access.2021.3108177,https://openalex.org/W3197167612,313,mobile manipulation task planning base placement|robot manipulation reachable workspace clutter|robot reachability map mobile manipulation|task and motion planning mobile manipulation clutter,Computer science; Motion planning; Heuristic; Robustness (evolution); Robot; Mobile robot; Mathematical optimization; Path (computing); Artificial intelligence; Industrial engineering; Mathematics; Engineering,Computer science; Motion planning; Heuristic; Robustness (evolution); Robot; Mobile robot; Mathematical optimization; Path (computing); Artificial intelligence; Industrial engineering,Compose symbolic action choices with continuous geometric feasibility.,A task-and-motion planning interface between discrete actions and continuous feasibility.,symbolic predicates are stable under geometric context changes; continuous feasibility checks do not change the meaning of an affordance predicate,predicate vocabulary; low-level controllers; scene object identities,predicate drift under clutter/base changes; expensive replanning; brittle discretization,calling geometric feasibility checks from symbolic plans,a learned predicate whose conserved component is explicit and auditable,abstract-level,"The small battery capacities of the mobile robot and the un-optimized planning efficiency of the industrial robot bottlenecked the time efficiency and productivity rate of coverage tasks in terms of speed and accuracy, putting a great constraint on the usability of the robot applications in various planning strategies in specific environmental conditions. Thus, it became highly desirable to address the optimization problems related to exploration and coverage path planning (CPP). In general, the goal of the CPP is to find an optimal coverage path with generates a collision-free trajectory by reducing the travel time, processing speed, cost energy, and the number of turns along the path length, as well as low overlapped rate, which reflect the robustness of CPP. This paper reviews the principle of CPP and discusses the development trend, including design variations and the characteristic of optimization algorithms, such as classical, heuristic, and most recent deep learning methods. Then, we compare the advantages and disadvantages of the existing CPP-based modeling in the area and target coverage. Finally, we conclude numerous open research problems of the CPP and make suggestions for future research directions to gain insights."
903,60.193,landscape_sweep,robot foundation/vision-language manipulation,Semantic Robot Programming for Taskable Goal-Directed Manipulation,2020,Zhen Zeng,Deep Blue (University of Michigan),dissertation,,https://openalex.org/W3113426771,1,robot manipulation in clutter rearrangement|robot object rearrangement clutter manipulation,Computer science; Goal programming; Human–computer interaction; Artificial intelligence; Programming language; Engineering; Operations research,Computer science; Goal programming; Human–computer interaction; Artificial intelligence; Programming language; Engineering; Operations research,Use broad multimodal representations to condition robot manipulation behavior.,A graph or relational representation over scene entities and action relations.,task labels remain meaningful across the deployment contexts considered,dataset distribution; robot embodiment; task definition,"distribution shift, unmodeled geometry, and embodiment mismatch",using broad pretrained representations for robot actions,a mechanism-level account of conserved affordance under mobile manipulation context shift,abstract-level,"Autonomous robots have the potential to assist people to be more productive in factories, homes, hospitals, and similar environments. Unlike traditional industrial robots that are pre-programmed for particular tasks in controlled environments, modern autonomous robots should be able to perform arbitrary user-desired tasks. Thus, it is beneficial to provide pathways to enable users to program an arbitrary robot to perform an arbitrary task in an arbitrary world. Advances in robot Programming by Demonstration (PbD) has made it possible for end-users to program robot behavior for performing desired tasks through demonstrations. However, it still remains a challenge for users to program robot behavior in a generalizable, performant, scalable, and intuitive manner. In this dissertation, we address the problem of robot programming by demonstration in a declarative manner by introducing the concept of Semantic Robot Programming (SRP). In SRP, we focus on addressing the following challenges for robot PbD: 1) generalization across robots, tasks, and worlds, 2) robustness under partial observations of cluttered scenes, 3) efficiency in task performance as the workspace scales up, and 4) feasibly intuitive modalities of interaction for end-users to demonstrate tasks to robots. Through SRP, our objective is to enable an end-user to intuitively program a mobile manipulator by providing a workspace demonstration of the desired goal scene. We use a scene graph to semantically represent conditions on the current and goal states of the world. To estimate the scene graph given raw sensor ob..."
904,60.193,landscape_sweep,invariance/equivariance/transport,ET-SEED: Efficient Trajectory-Level SE(3) Equivariant Diffusion Policy,2024,"Chenrui Tie; Yue Chen; Ruihai Wu; Dong, Boxuan; Zijian Li; Chongkai Gao; Dong Hao",arXiv (Cornell University),preprint,https://doi.org/10.48550/arxiv.2411.03990,https://openalex.org/W4404371741,1,equivariant invariant robotic manipulation affordance,Equivariant map; Trajectory; Diffusion; Mathematics; Economics; Physics; Pure mathematics; Thermodynamics; Astronomy,Equivariant map; Trajectory; Diffusion; Mathematics; Economics; Physics; Pure mathematics; Thermodynamics; Astronomy,Exploit symmetry or transport structure to improve manipulation generalization.,A representation constrained by geometric invariance or equivariance.,the relevant transformation group is known and preserves labels; non-geometric context variables do not break the transported label,transformation group; nuisance/action split; correspondence map,label not conserved outside the assumed group; hidden context breaks equivalence classes,standard geometric invariance/equivariance for manipulation,"context-dependent conservation where only a quotient, not the full label, is invariant",abstract-level,"Imitation learning, e.g., diffusion policy, has been proven effective in various robotic manipulation tasks. However, extensive demonstrations are required for policy robustness and generalization. To reduce the demonstration reliance, we leverage spatial symmetry and propose ET-SEED, an efficient trajectory-level SE(3) equivariant diffusion model for generating action sequences in complex robot manipulation tasks. Further, previous equivariant diffusion models require the per-step equivariance in the Markov process, making it difficult to learn policy under such strong constraints. We theoretically extend equivariant Markov kernels and simplify the condition of equivariant diffusion process, thereby significantly improving training efficiency for trajectory-level SE(3) equivariant diffusion policy in an end-to-end manner. We evaluate ET-SEED on representative robotic manipulation tasks, involving rigid body, articulated and deformable object. Experiments demonstrate superior data efficiency and manipulation proficiency of our proposed method, as well as its ability to generalize to unseen configurations with only a few demonstrations. Website: https://et-seed.github.io/"
905,60.135,landscape_sweep,grasp/contact manipulation,Open-Set Object Detection Using Classification-Free Object Proposal and Instance-Level Contrastive Learning,2023,Zhongxiang Zhou; Yifei Yang; Yue Wang; Rong Xiong,IEEE Robotics and Automation Letters,article,https://doi.org/10.1109/lra.2023.3242169,https://openalex.org/W4319068933,22,robot manipulation in clutter rearrangement|robot object rearrangement clutter manipulation,Overfitting; Artificial intelligence; Computer science; Object (grammar); Object detection; Set (abstract data type); Benchmark (surveying); GRASP; Open set; Machine learning; Pattern recognition (psychology); Robot,Overfitting; Artificial intelligence; Computer science; Object (grammar); Object detection; Set (abstract data type); Benchmark (surveying); GRASP; Open set; Machine learning,Address a robotics or AI problem related to Open-Set Object Detection Using Classification-Free Object Proposal and Instance-Level Co....,"A domain-specific model, planner, or learned predictor described by the paper.",task labels remain meaningful across the deployment contexts considered,candidate contacts; gripper model; local surface geometry,graspability does not imply task affordance; unseen base approach directions,broad robotics motivation and related empirical settings,task-level conservation beyond local grasp/contact scores,abstract-level,"Detecting both known and unknown objects is a fundamental skill for robot manipulation in unstructured environments. Open-set object detection (OSOD) is a promising direction to handle the problem consisting of two subtasks: objects and background separation, and open-set object classification. In this letter, we present Openset RCNN to address the challenging OSOD. To disambiguate unknown objects and background in the first subtask, we propose to use classification-free region proposal network (CF-RPN) which estimates the objectness score of each region purely using cues from object's location and shape preventing overfitting to the training categories. To identify unknown objects in the second subtask, we propose to represent them using the complementary region of known categories in a latent space which is accomplished by a prototype learning network (PLN). PLN performs instance-level contrastive learning to encode proposals to a latent space and builds a compact region centering with a prototype for each known category. Further, we note that the detection performance of unknown objects can not be unbiasedly evaluated on the situation that commonly used object detection datasets are not fully annotated. Thus, a new benchmark is introduced by reorganizing GraspNet-1billion, a robotic grasp pose detection dataset with complete annotation. Extensive experiments demonstrate the merits of our method. We finally show that our Openset RCNN can endow the robot with an open-set perception ability to support robotic rearrangement tasks in cluttered environments."
906,60.084,landscape_sweep,mobile manipulation and base placement,Human–Robot Companionship: Current Trends and Future Agenda,2024,Eshtiak Ahmed; Oğuz Buruk; Juho Hamari,International Journal of Social Robotics,article,https://doi.org/10.1007/s12369-024-01160-y,https://openalex.org/W4400947997,35,language conditioned robot manipulation affordance,Robotics; Interpersonal relationship; Interpersonal communication; Current (fluid); Human–robot interaction; Artificial intelligence; Robot; Mechatronics; Psychology; Human–computer interaction; Computer science; Data science,Robotics; Interpersonal relationship; Interpersonal communication; Current (fluid); Human–robot interaction; Artificial intelligence; Robot; Mechatronics; Psychology; Human–computer interaction,Choose base/whole-body configurations that make manipulation tasks feasible.,"A domain-specific model, planner, or learned predictor described by the paper.",the manipulation target or affordance query is already fixed before base planning; reachability is sufficient to represent action success,object affordance predicate; contact semantics; environment map quality,reachable but semantically wrong contacts; clutter-induced censoring of affordance evidence,base-pose selection and whole-body feasibility reasoning,how object affordances should be conserved while access changes,abstract-level,"Abstract The field of robotics has grown exponentially over the years, especially the social aspect, which has enabled robots to interact with humans meaningfully. Robots are now used in many domains, such as manufacturing, healthcare, education, entertainment, rehabilitation, etc. Along with their widespread usage in many real-life environments, robots have been used as companions to humans. With the increased amount of research done on human–robot companionship (HRC), it is important to understand how this domain is developing, in which direction, and what the future might hold. There is also a need to understand the influencing factors and what kind of empirical results are in the literature. To address these questions, we conducted a systematic literature review and analyzed a final number of 134 relevant articles. The findings suggest that anthropomorphic and zoomorphic robots are more popular as human companions, while there is a lack of interest in functional and caricatured robots. Also, human-like and animal-like features are implemented more in companion robots. Studies rarely exploit the mobility available in these robots in companionship scenarios, especially in outdoor settings. In addition to that, co-existence and co-performance-based implementation with humans have been observed rarely. Based on the results, we propose a future research agenda that includes thematic, theoretical, methodological, and technological agendas. This study will help us understand the current state and usage of robotic companions which will then potentially aid in determining how H..."
907,60.0,landscape_sweep,invariance/equivariance/transport,One-Shot Imitation Learning with Invariance Matching for Robotic Manipulation,2024,Xinyu Zhang; Abdeslam Boularias,arXiv (Cornell University),preprint,https://doi.org/10.48550/arxiv.2405.13178,https://openalex.org/W4398795075,0,equivariant invariant robotic manipulation affordance|where2act affordance robot manipulation,Imitation; Matching (statistics); Artificial intelligence; Shot (pellet); Computer vision; Computer science; One shot; Psychology; Mathematics; Engineering; Neuroscience; Mechanical engineering,Imitation; Matching (statistics); Artificial intelligence; Shot (pellet); Computer vision; Computer science; One shot; Psychology; Mathematics; Engineering,Exploit symmetry or transport structure to improve manipulation generalization.,A representation constrained by geometric invariance or equivariance.,the relevant transformation group is known and preserves labels; non-geometric context variables do not break the transported label,transformation group; nuisance/action split; correspondence map,label not conserved outside the assumed group; hidden context breaks equivalence classes,standard geometric invariance/equivariance for manipulation,"context-dependent conservation where only a quotient, not the full label, is invariant",abstract-level,"Learning a single universal policy that can perform a diverse set of manipulation tasks is a promising new direction in robotics. However, existing techniques are limited to learning policies that can only perform tasks that are encountered during training, and require a large number of demonstrations to learn new tasks. Humans, on the other hand, often can learn a new task from a single unannotated demonstration. In this work, we propose the Invariance-Matching One-shot Policy Learning (IMOP) algorithm. In contrast to the standard practice of learning the end-effector's pose directly, IMOP first learns invariant regions of the state space for a given task, and then computes the end-effector's pose through matching the invariant regions between demonstrations and test scenes. Trained on the 18 RLBench tasks, IMOP achieves a success rate that outperforms the state-of-the-art consistently, by 4.5% on average over the 18 tasks. More importantly, IMOP can learn a novel task from a single unannotated demonstration, and without any fine-tuning, and achieves an average success rate improvement of $11.5\%$ over the state-of-the-art on 22 novel tasks selected across nine categories. IMOP can also generalize to new shapes and learn to manipulate objects that are different from those in the demonstration. Further, IMOP can perform one-shot sim-to-real transfer using a single real-robot demonstration."
